id,lifeSat,age,emplStat55,healthSat,livtog
50701,8,60,1,8,0
50801,3,55,3,3,1
50801,9,56,3,5,1
50801,8,57,3,7,1
50801,5,58,3,5,1
50801,9,59,3,5,1
50801,5,60,3,5,1
50901,5,55,1,6,1
50901,5,56,1,5,1
50901,6,57,1,5,1
50901,6,58,1,8,1
50901,5,59,1,7,1
50901,5,60,1,7,1
51001,9,55,1,9,1
51001,9,56,1,9,1
51001,9,57,1,8,1
51001,9,58,1,8,1
51001,9,59,1,8,1
51001,9,60,1,8,1
51202,7,55,1,5,0
51202,7,56,1,7,0
51601,3,55,1,6,0
51601,3,56,1,5,0
51601,6,57,1,5,0
51601,6,58,1,4,0
51601,4,59,1,5,0
51601,4,60,1,4,0
51602,3,55,1,1,0
51603,5,55,1,5,0
51701,9,55,1,5,0
51701,7,56,1,7,0
51701,8,57,1,6,0
51701,7,58,1,5,0
51701,7,59,1,6,0
51701,7,60,1,7,0
52102,7,55,1,6,1
52102,5,56,1,4,1
52102,7,57,1,5,1
52102,5,58,1,4,1
52102,7,59,1,5,1
52102,7,60,1,6,1
53101,5,55,1,7,1
53101,1,56,1,1,1
53101,1,57,1,2,1
53101,5,58,1,2,1
53101,3,59,1,1,1
53101,5,60,1,5,0
54501,7,55,1,4,1
54501,3,56,1,5,1
54501,8,57,1,6,1
54501,8,58,1,7,1
55901,8,55,1,7,1
55901,8,56,1,10,1
55901,8,57,1,8,1
55901,9,58,1,9,1
55901,9,59,1,9,1
55901,10,60,1,9,1
56201,7,55,3,7,1
56201,6,56,3,3,1
57001,9,55,1,5,1
57001,6,56,1,5,1
57001,6,57,1,4,1
57001,7,58,1,6,1
57001,7,59,1,8,1
57001,9,60,1,8,1
57101,2,55,2,6,1
57101,4,56,2,4,1
57101,4,58,2,2,1
57201,5,55,1,1,1
57201,7,56,1,10,1
57201,10,57,1,8,1
57201,7,58,1,1,1
57201,10,59,1,10,1
57201,10,60,1,10,1
57401,5,55,1,5,1
57401,5,56,1,6,1
57401,5,57,1,0,1
57401,7,58,1,0,1
57401,10,59,1,5,1
57401,5,60,1,10,1
57501,10,55,1,10,1
57501,10,56,1,10,1
57501,10,57,1,10,1
57501,10,58,1,10,1
57501,5,59,1,10,1
57501,9,60,1,9,1
57701,9,55,1,9,1
57701,10,56,1,10,1
57701,10,57,1,10,1
57701,8,58,1,7,1
57701,6,59,1,10,1
57701,7,60,1,10,1
57801,7,55,1,10,1
57801,8,56,1,9,1
57801,10,57,1,8,1
57801,9,58,1,4,1
57801,10,59,1,5,1
58301,8,55,1,7,1
58301,9,56,1,8,1
58301,5,57,1,6,1
58301,7,58,1,5,1
58301,7,59,1,7,1
59101,7,55,1,6,0
59101,6,56,1,4,0
59301,4,55,1,5,1
59301,8,56,1,4,1
59301,7,58,1,6,1
59401,9,55,1,6,1
59401,8,56,1,7,1
59401,8,57,1,6,1
59401,8,58,1,4,1
59401,8,59,1,7,1
59601,8,55,1,8,0
59601,5,56,1,5,0
59601,3,57,1,2,0
59601,5,58,1,9,0
59605,6,55,1,2,0
59605,5,56,1,5,0
59605,4,57,1,2,0
60101,1,55,1,2,1
60101,3,56,1,0,1
60101,2,57,1,0,1
60701,10,55,2,4,1
60803,6,55,2,5,1
60803,8,56,2,2,1
60803,8,57,2,4,1
61901,8,55,1,8,0
61901,7,56,1,6,0
61901,7,57,1,8,0
61901,8,58,1,7,0
61901,7,59,1,8,0
61901,7,60,1,7,0
62103,8,55,3,8,0
62103,6,56,3,5,0
62103,7,57,3,6,0
62103,8,58,3,7,0
62103,9,59,3,7,0
62103,7,60,3,6,0
62501,10,55,1,5,1
62501,10,56,1,9,1
62501,8,57,1,5,1
62501,10,58,1,8,1
62501,8,59,1,4,1
62501,8,60,1,8,1
62801,7,55,2,6,1
62801,8,56,2,8,1
62801,7,57,2,7,1
62801,7,58,2,8,1
62801,7,59,2,8,1
62801,7,60,2,9,1
63403,5,55,3,4,0
63403,5,56,3,3,0
63403,2,57,3,0,0
63901,6,55,1,4,1
63901,7,56,1,6,1
63901,7,57,1,7,1
63901,5,58,1,5,1
63901,5,59,1,4,1
63901,7,60,1,6,1
64301,9,55,1,9,0
64301,10,56,1,10,1
64301,10,57,1,10,1
64301,8,58,1,8,1
64301,8,59,1,8,1
64301,8,60,1,8,0
64701,7,55,2,3,1
64701,5,56,2,6,1
64701,8,57,2,7,1
64701,9,58,2,6,1
64701,9,59,2,7,1
64701,9,60,2,6,1
64901,8,55,1,8,1
64901,10,57,1,10,1
64901,10,58,1,10,1
64901,9,59,1,10,1
64901,10,60,1,10,1
65201,8,55,1,6,1
65201,8,56,1,8,1
65201,8,57,1,6,1
65201,8,58,1,7,1
65201,6,59,1,5,1
65201,8,60,1,7,1
65601,5,55,2,5,0
65601,5,56,2,5,0
65601,5,57,2,5,0
65601,5,58,2,5,0
65601,6,59,2,6,0
